year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1991- 9	0	8.6	1.8	0	1.5	0.5	0	0	0	0	3	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.996774194			
1991-10	5.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	40.6	0.8	9.9	10.7	40.1	19.1	10.2	10.7	2	0.3	0.3	1	0	1	3.1	0	5.012903226			
1991-11	0	0	22	0	49.5	0	0	16	65	2.3	0.2	14	10.2	32.3	2	0	9.6	0	1.8	18.5	0	13.8	0.5	0.8	4.6	0	0	0	0	0	0	8.487096774			
1991-12	0	0	0	0	0	0	0	0	0	0	0	4.9	20.9	0.7	10.8	6.8	16.3	50.8	0	0	0	0	10	0	5.2	26.9	0	35.2	96.5	27.3	0	10.07419355			
1992- 1	1.9	0	0	0	7.1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903225806			
1992- 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1992- 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1992- 4	1.90	13.05	17.98	17.85	7.28	7.18	10.58	15.68	1.32	1.93	3.08	10.27	7.78	11.95	23.37	9.58	1.92	9.37	4.12	1.68	12.40	8.00	0.60	4.75	7.82	7.52	6.12	2.25	1.45	2.33	0.00	7.455376344			
1992- 5	1	42.5	0	33.7	11.3	4.2	2.3	0	0	4	1	12	25.3	7.1	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	7.032258065			
1992- 6	0	0	0	0.7	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048387097			
1992- 7	0	0	0	0.7	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.241935484			
1992- 8	0.8	0	1.3	2.4	0.7	21	16.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8	1.4	0	0	1.4	0	1.977419355			
1992- 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	9.5	10.3	7	3.4	0	15.5	0.7	12.1	0	0	0	4.306451613			
1992-10	14.9	50.9	5.8	0	0	2.1	0.1	0	0	0	0	3.7	0.4	5.4	0	0	0	0	5.1	0	0	17	0	0	3.7	0	3.1	0	38.9	3.6	0	4.990322581			
1992-11	50	23.1	50.5	0	80.5	0	19	19	20.9	46.2	0.4	62.2	43.3	71.4	0	3.2	41.5	0	15.3	0	10.5	20	0	0.9	0	0	0	0	4.1	16.6	0	19.30967742			
1992-12	56	4.9	7.5	43.6	0	0	0	0	0	0	0	0	0	7.9	2.2	11.5	1.1	15.3	2.1	0	0	1.4	14	0	0	0	0	0	7.3	3.2	4.2	5.877419355			
1993- 1	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	2.5	14.3	0	0	0	0	0	0.651612903			
1993- 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6	0	0	0	0	0	0	0	0	0.761290323			
1993- 3	6.5	12.8	0	0	4.4	0	0	0	0	0	0	1.2	1.4	0.8	0.4	0	0	0	0	0	20.6	0	0	24.2	5.5	0	36.8	0.7	0	0	0	3.719354839			
1993- 4	0	0	0	26.4	0	9.4	0	0	0	5.7	0	43.1	0	40.5	10.2	0	0	0	16.5	0	59	0	0	28.5	2.3	22.8	0	0	0	0	0	8.529032258			
1993- 5	0	0	0	8.6	0	0	0	0	0	0	18.2	10	2	2.3	0	0	1.3	0	0	0	0	9.3	0	4.8	0	0	0	0	0	4	0	1.951612903			
1993- 6	0	0	0	0	7.4	0.9	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0.9	0	0	0	0.822580645			
1993- 7	0	0	0	0	8.2	0	0	0	0	0	0	0	0	0	0	0	9.1	21.4	5.3	7.3	0	0	0	0	0	0	0	0	0	0	0	1.65483871			
1993- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0.022580645			
1993- 9	0	0	0	0	0	0	0	0	0	12.4	0.5	0.5	8.4	0	0	0	0	10	0	0	0	0	0	0	2.9	0	0	0	0	61.6	0	3.106451613			
1993-10	0	0	0	0	0	0	9.7	0	2.7	0	0	0	17	9.2	7.5	2	5	15.5	4	1.7	18.8	5.6	0	34.2	30	31.2	51.1	0	23.1	0	11.1	9.012903226			
1993-11	0	6.9	0	1.3	1	0	40.9	2.1	0	0	0	4.2	0	4.3	6.6	5.1	15.2	64.3	5.4	50	7.3	0	3	10.1	0	0	0	8.8	80	14.1	0	10.66451613			
1993-12	0	23.5	4	5	4.8	0	2.7	0	7	0	0	10.9	0	0	17.8	6.9	15.2	8.5	0	10.2	18.2	27.5	0	0	19.5	8.4	0	7.8	0	0	0	6.383870968			
1994- 1	0	0	0	0	0	7.4	0	1.1	0	0	0	0	0	0	0	14.6	24	0	0	8.6	18	25	0	0	0	0	0	0	0	8.5	35.6	4.606451613			
1994- 2	0	0	0	17	1.9	0	24.1	9.5	44.8	46.6	0	0	0	0	0	0	13.6	0.1	16	16.8	0	0	0	0	0	0	0	0	0	0	0	6.141935484			
1994- 3	0	0	0	8.5	1.4	0	0	0	0	0	0	0	53.8	0	0	24.7	3.4	0	0	0	0	0	0	0	0	0	0	10.5	0	0	0	3.3			
1994- 4	11.4	39.5	12.2	22.3	6.4	0	0	12	2.8	2.3	0	18.5	0	0	10.8	0	0	0	0	0	0	0	0	0	0	0	33.9	8.3	3.3	0	0	5.925806452			
1994- 5	1.4	0	57.8	0	2.3	0	0	0	0	0	0	0	0	0	0	9.6	4.3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75483871			
1994- 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0.035483871			
1994- 7	0	0	2	1.9	17.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	20.5	0	0	0	0	6.8	1.670967742			
1994- 8	17.9	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648387097			
1994- 9	0	0.5	2	0	2.8	0	0	20.4	0	1	0	31	0	0	0	0	0	0	0	0	0	96	0	51.8	0.5	0	8.4	13.5	0	51.3	0	9.006451613			
1994-10	0	2.8	0.1	6.9	0	0	0	0	0	0	0	0	0	9.8	2	5	45	0	5.6	0	0	15.7	0	0	47.5	0	0	39.8	8.5	66.5	7.9	8.487096774			
1994-11	82	8.4	50	2.8	4	0	0	0	57.5	34.7	6	2	3.5	5.1	0	0	0	0	0	0	0	0	0	61	2	13	9.1	7.3	0	0	0	11.23870968			
1994-12	37.3	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4.7	0	0	0	0	0	0	0	1.632258065			
1995- 1	0	0	0	0	0	15.2	26.5	2.9	88.1	48.6	39.4	0	0	0	0	0	0	0	0	37.9	10.4	0	0	0	0	0	0	0	0	11.1	0	9.035483871			
1995- 2	2.2	6.4	14.4	33.5	5.5	0	0	0	0	0	0	0	0	24.5	7.5	0	14.1	25.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.296774194			
1995- 3	0	0	0	0	0	0	0	0	10	8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	75	16.3	0	0	28	46.2	8.4	0	6.209677419			
1995- 4	0	0	10.5	0	32	0	7.4	0	0	0	0	0	40.7	10	45	22.2	11.5	5.3	0	0	0	0	1.9	0	26.6	0	0	5.2	5.1	2	0	7.270967742			
1995- 5	66.5	0	1.3	27.2	8.2	3.4	11.2	0	1	0.7	0	0	1.3	4.8	0.9	0	0	0	0	0	5.4	0	0	0	0	11.1	7.1	0	0	0	0	4.841935484			
1995- 6	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	29.5	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.458064516			
1995- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1995- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1995- 9	0	0	0	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21.2	6.4	0	1.577419355			
1995-10	7.4	0	4.7	0	24.5	5	9	0	0	0	0	0	0.3	0	0	0	9.6	10.7	0	1.9	23.2	2.3	2.3	0	0	0	0	6.2	12.4	32.1	0	4.890322581			
1995-11	77.8	4	20.5	13.5	16	0	19.2	3.9	0	0	18.6	56	38.3	12.3	0	53	17.4	0	3.8	0	5.3	0	0	2.6	14.6	0	52.8	0	0	0	0	13.85806452			
1995-12	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.5	2.1	1.9	3.5	23.9	21.6	0	0	0	0	0	0	1.832258065			
1996- 1	21	12.3	11	0	0	2	0	0	0	0	0	0	10.8	3.4	32.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.8	2.8	4			
1996- 2	0	0	0.7	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.6	10.5	0	0	16.8	10	13	0	0	0	0	3.522580645			
1996- 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18.6	0	0	0	0	0	0	2.5	14.1	0	0	0	0	21.3	2.403225806			
