year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
2000-10	0	0	5.8	11.1	16	10	2	0	0	0	2	2.3	0	0	0	0	0	0	0	6.9	0	0	0	0	2.6	0	0	0.3	12	2.3	0	2.364516129			
2000-11	34.8	11.3	20	6.6	0	0	5.3	0	0	5.9	15	10	0	0	0	0.7	34.5	37.7	34.5	1.6	0	69.7	20.2	3.6	0	0	1	0	0	0	0	10.07741935			
2000-12	24.3	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	12.2	0	0	0.9	0	0	3.3	0	0	2.2	0	5.8	0	0	0	1.580645161			
2001- 1	20.5	0	0	4.6	0	0	0	0	0	0	13.3	0	0	0	0	0	7	19	0	0	7	3.8	0	0	0	0	3.2	0	39.1	0	5.3	3.961290323			
2001- 2	12.7	0	64.1	32.6	0	0	0	0	0	0	0	0	0	0	0	10.3	0	7.5	0	0	19.4	0	0	0	0	0	0	0	0	0	0	4.729032258			
2001- 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7	0	0	14.2	63.8	5.9	21.9	0	4	0	0	0	8.2	0	0	0	10.6	4.558064516			
2001- 4	0	0	1.6	0	1.3	25.2	0	66	47.8	1	11.4	6.5	10	30	0.1	0	0	3.1	22.5	0	0	0	0	43.5	3.5	7	0	5.9	0	10	0	9.561290323			
2001- 5	3.5	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	21.8	0	0	0	0	0	0	0	0	0.890322581			
2001- 6	2.2	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.716129032			
2001- 7	0	0	0	3.5	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	10.5	1.4	10.4	0	0	6	0	1.258064516			
2001- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0.451612903			
2001- 9	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	70	2.7	0	0	0.8	0	0	0	0	0	1.1	0	0	3.5	0	0	0	2.693548387			
2001-10	0	1.4	5.1	24.3	0	0.8	0	0	0.6	0	0	2.2	0	2.7	0	0	0	0.9	0	5.3	70	3.9	2.4	9.3	19	0	2.2	5	21.5	24	37.5	7.680645161			
2001-11	0	0	35	29.5	4.6	1.1	0	0	10	12.4	0	0	0	37.5	11.1	5.3	20.3	18.2	1.4	0	1.4	15.8	0	0	0	0	2.1	0	0	0	0	6.635483871			
2001-12	0	0	0	0.1	10	7	0	0	0	0	0	0	0	0	0	0	0	6.4	3.1	30.2	37	20	1	0	0	0	0	0	0	28.1	0	4.609677419			
2002- 1	3.1	0	0	8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3	1.425806452			
2002- 2	0	10	10.4	16.2	0	0	0	0	0	1.9	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.377419355			
2002- 3	0	0	0	0	0	0.5	15.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2	1.2	0	0	0	4.1	18	15.9	2.019354839			
2002- 4	82.5	2.8	7.1	12.8	0	0	0	0	21.5	0	0	1.2	12	18	6	0.3	5.6	2.2	10	6	0	17.5	7.6	4.1	9.5	20	0	120	0	9.3	0	12.12903226			
2002- 5	0	31.3	10	5	4.3	8.3	0	0	33.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	3.048387097			
2002- 6	0	3.5	0	0	0	0	0	0	39.7	0.5	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45483871			
2002- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0.080645161			
2002- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	10	1.9	0	1	0	0	0	0.709677419			
2002- 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	5.8	4.9	0	4	21.9	36.9	0	2.419354839			
2002-10	0	4.6	23.6	0.9	0	0	78	49	0	0	0	0	3.3	0	0	34.3	0	0	10	22	4.3	0	18.5	2.4	10	15	16	1.3	46	10.5	0	11.28064516			
2002-11	0	0	3	6.5	12.5	0	30.6	2	6	4	5.2	0	1.5	19.5	3	7	12.7	30	36.5	2	6.7	8	12	14	0.5	0	27.5	6.9	0	0.5	0	8.325806452			
2002-12	0	0	6.1	0	9	10	6	14.2	3.7	0	0	0	0	3.4	0	23	7.5	13.5	10	0	0	2	4	0.3	3	0	0	0	0	0	0	3.732258065			
2003- 1	0	0	0	0	5.4	2.3	0	1.8	4.1	1.4	0	0	0	0	28	0	0	3	1.8	1.2	7	0	0	0	0	0	0	0	0	0	0	1.806451613			
2003- 2	0	0	0	0	0	6.6	0	0	0	3.3	7.5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.851612903			
2003- 3	0	0.3	0	1.9	0	0	2.2	0	0	0	10.2	18.3	69.2	0	1.2	0	10	28.5	0	42.6	0	0	0	0	120.8	0	33.8	0.4	0	0	0	10.9483871			
2003- 4	0	0	0	0	0	0	79.2	1.7	45	0	0	0	0	13.6	1.5	0	0	10	1	0.3	44.7	9.1	13.1	0	0	0	4.8	23.5	0	0.9	0	8.012903226			
2003- 5	30	102.5	15.3	0	0.7	0	0	0	0	0	0	2.6	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.087096774			
2003- 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	1.3	4	6	0	0	0.432258065			
2003- 7	0	0	0	0	0	0	0	0	32.4	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0.2	3.6	0	1.341935484			
2003- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0.393548387			
2003- 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16.8	0	0	1.7	0	22.7	0	0	5	7	0	6.5	0.7	0	2.174193548			
2003-10	2.2	5.2	0	0	0	0	0	0	0	0	0	5.1	0	0	3.3	0.9	0	1.7	0	0	0	0	0	0	0	57.2	0	0	0	0	0	2.438709677			
2003-11	10	14	9.6	7.5	10.5	19.7	17.5	8	5	0	0	0	0	60	16	5.3	0.7	16.5	1.6	2	33	20	4.1	0	0	0.7	0.5	10.4	67.5	40	0	12.26129032			
2003-12	0	0	0	0	0	0	0	0	0	0	13.2	0	0	0	3.4	0	0	60.2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.477419355			
2004- 1	0	0	0	0	0	0	0	0	5	15.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	65.2	6	0	0	0	0	3			
2004- 2	0	0	2.9	0	0	0	14.4	0.7	0	0	2.5	0	0	0	0	0	0	0	0	0	0	8.2	0	0	0	3.1	8.8	30	0	0	0	2.277419355			
2004- 3	0	0	0	0	0	0	0	3.3	0.3	0	0	0.2	20	25	0	7.1	0	0	0	0	27.8	3.3	0	26.2	1.2	0	25	4.3	2.2	7.6	0	4.951612903			
2004- 4	0	0	10.9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	3.5	39	22.8	7.2	0	10	0	4.625806452			
2004- 5	12	65.2	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	6.6	8.8	8	0.8	0	0	3.590322581			
2004- 6	0	0	0	0	0	0	2.8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219354839			
2004- 7	0	0	0	0	3.3	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	3.6	0	0	0	0.296774194			
2004- 8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0.116129032			
2004- 9	22.6	5.4	0	0	0	2.3	22.1	0	0	0	0	1.2	1	0	0	0	0	0	0	34.9	23.8	2	5	2	4	6.3	58.5	0	0	33.7	0	7.251612903			
2004-10	29.8	0	0	0	0	0.7	0	0	0	16.7	5.7	44.9	9	18.2	0	30.2	56.5	0	9.1	3	14	15.6	14	15.6	8	1.9	4	18.5	18.5	40.3	21	12.7483871			
2004-11	23	0	5.3	0.5	0	6	11.5	1.9	0.3	0.5	0.3	0.2	0.3	0.5	12.9	5.8	0	0	0	0	0.3	55.7	0	2.2	5.3	0	0	0	0	17.4	0	4.835483871			
2004-12	0	0	8.5	10	30	1.8	0	0.8	0.5	5	30	60.5	3.3	48.3	8	42.2	0	0	0	0	0	0	0	0	0	0	5.3	23.9	0	0	10	9.293548387			
2005- 1	5.8	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	18.6	8.4	1.2	0	20	17.2	0	0	0	0	0	0	0	0	3.4	2.432258065			
2005- 2	125	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	4.083870968			
2005- 3	0	0	0	0	0	0	0	0.6	2.9	0.7	0.8	4	3	0	0	0	0	0	0	0	0	0	18	23	30	48	0	0	0	1.6	19.2	4.896774194			
2005- 4	0	7.3	0	18.4	1.9	1.7	0	5	4	2	60	0	4	2.4	0	0	3	5.2	4.7	0	0	0	10	24.4	25.9	17.1	10.5	6.8	19	21	0	8.203225806			
2005- 5	25.2	9.3	16.7	1.6	10.6	6	30	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	8.8	0	0	3.603225806			
2005- 6	0	0	0	0	0	0	0	5.4	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374193548			
2005- 7	0	0	0	0.6	0	0	0	0	0	0	0	39.6	0	50.6	19.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.564516129			
2005- 8	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7	0	0.835483871			
2005- 9	0	6	0	11.8	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5	11	0	0	0	0	0	0	0	1.290322581			
2005-10	0	0	3.1	1.4	4.5	4.4	15	15	10	15.1	0	0	10	8.1	0	0	0	20.6	7.7	25.9	15	25	4.9	0.3	2.8	1.8	0	0	0	0	0	6.148387097			
2005-11	0.4	8.2	60	75	60	22.6	23.3	8.8	3.9	23.9	11.2	1.2	28.2	39.2	2.1	0	0	0	0	6.7	63.7	0.3	1.3	75.3	9.5	20	13.5	34.8	31.3	1.8	0	20.2			
2005-12	0	0	5	5.6	21.6	29.5	0	0	0	0	12.4	2.2	0	0	1.7	2.4	0	0	0	0	9	27	0	0	0	0	0	0	0	0	0	3.75483871			
2006- 1	0	0	0	0	0	0	4	3.3	5.5	8.2	30	0	30	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.087096774			
2006- 2	0	0	0	7	8	0	0	5.2	20.8	0	0	0	0	0	0	1.5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.661290323			
2006- 3	0	1.2	4	6.5	0	12.4	0	0.5	0.4	9	69	0.3	0	0	1.2	3	0	0	0	7.5	0	5.5	6.5	3.6	14	23.7	25.6	0	0	3.8	0	6.377419355			
2006- 4	13.1	40	0	0	2	0	0	0	33.5	5.7	0	0	0.3	10	10	14.2	8.1	12	22.5	0	0	4.5	4.3	0	0	0	0	0	0	0	0	5.812903226			
2006- 5	0	0	3.2	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2.8	0.2	0	0	0.861290323			
2006- 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	11.5	3.1	0	0.9	0.8	0	0	0	0	0	0	0	0	0	0.732258065			
2006- 7	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058064516			
2006- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	2.8	0.112903226			
2006- 9	0	0	20	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6	4	2	0	0	0	0	0	0	0	4.116129032			
2006-10	0	0	0	0	0	0	0	0	0	0	0	27.3	0	1.5	46.3	1.7	21.1	39.7	6.4	22.3	5.2	0.7	8.2	10.7	47.5	16.9	16.7	10.5	0.2	83.5	2	11.88387097			
2006-11	0	5	15	8	3.3	48.1	18.1	91	49.2	42	31.3	39	0.2	0.2	7.6	118	0.7	28.5	10	23	48.7	9.3	2	0	4.8	6	0.1	0	0	0	0	19.6483871			
2006-12	0	5	25	8	1.3	0.9	7.4	0.1	0	2.6	2.5	0.4	0	0	12	50.3	1	0	24.7	9.5	0	0	7.6	0	0	0	0	0	0	0	0	5.106451613			
2007- 1	0	0	0	0	0	0	0	3.7	7.4	39.3	45.5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	1.3	3.3	0	0	4.274193548			
2007- 2	0	0	0.3	0	0	0	0	0	0	0	2.6	0.8	1.9	0	0	0	6	19.5	0	0	0	0	0	0	0	1.7	0	0	0	0	0	1.058064516			
2007- 3	0	0	6.3	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341935484			
2007- 4	74	41	0	0.5	0	3	3.1	29	2.1	91.2	0.2	17.1	16.2	2.5	47.3	30.2	21.2	6.1	35.2	0	0	27.2	43.8	13.5	6.6	7	81.5	85.3	3.9	0	0	22.21612903			
2007- 5	0	0	0	0	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	36.8	6.8	0	0	0.2	0	1.777419355			
2007- 6	0	0	0	0	0	10.2	0	0	0	0	0	0	0.8	0.8	0	4.6	0	0.4	0	0	2.7	0	4.3	1.4	21.7	0	0	0	0	0	0	1.512903226			
2007- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.3	0	0	0	0	0	0.9	0	0	0.84516129			
2007- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.4	0	12.7	0	5.4	0	0	0	0	0	0	0.606451613			
2007- 9	5.6	0	0	0	0	1.2	0.4	4.9	23.6	0	31.3	0	38.7	0.2	0	0	3.1	0	0.2	0	0	0	0	0	0	0	2.4	0	0	0	0	3.6			
2007-10	0	0	0	0	0	0	0	0	0	2.9	0	0	6.3	13	38.2	8.1	7.5	0.7	10.5	35	1.3	0.7	0	14.9	77.9	0	45.5	0	0	0	0.9	8.496774194			
2007-11	23	36.8	38.6	2.1	31.6	20.2	63.7	0.5	0	11.3	18.4	1.8	3	4.7	1.7	0	0	0	0	0	0	0	6.8	30.5	0	0	46.3	3	0	0	0	11.09677419			
2007-12	0	11.7	0	0	0	0	0	0	0	0	0	40.6	0.5	17.5	7	0.2	7.5	34.5	11.7	11.9	24.2	10.9	8.1	3.6	0	0	0	0	0	0	0	6.125806452			
2008- 1	0.92	0.21	2.51	4.47	7.58	10.29	21.94	17.58	8.03	19.10	6.23	11.55	4.96	1.52	11.25	1.51	0.75	2.86	0.04	0.01	0.00	0.01	0.73	0.08	1.71	0.10	9.41	0.00	0.07	0.91	0.56	4.737275987			
2008- 2	12.3	0	0	0	0	2.7	0.3	58.5	13.2	2.1	0	10.2	0	0	2.5	0	0	0	0	0	0	0	0	0	0	2.5	0.1	0.6	3	0	0	3.483870968			
2008- 3	0	2	16.4	35.5	2	1	0	0	17.8	0	0	124.2	27.2	1	23.8	3.1	7	9.9	0	2.5	16	0	0	4.2	0	0	0	27.8	2.1	0	5	10.59677419			
2008- 4	0.2	2	9.2	45	0.3	10.5	7.5	7	6	18.5	83	0	5.5	149.5	0	1.8	0.7	1.8	0	0	0	0	8.5	0.3	13.9	22.7	4.6	16.4	0	0	0	13.38387097			
2008- 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8	18	3.8	0	0	0	0	0.95483871			
2008- 6	1.2	0	0	2.3	1.6	0.4	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335483871			
2008- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	11.2	0	0	0	0	0	0	0	0	0	0.383870968			
2008- 8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	8.5	3.5	0	0.8	0.5	5	8.5	0	0.2	0	1.019354839			
2008- 9	2	0	5.5	0	1.3	0	0	0	0	0	0	0	0	0	0	0	11.5	0	0	0	0	0	0	0	0	15.3	0	0	0	0	0	1.148387097			
2008-10	0	2.9	22.3	31.1	0	0	1.6	0	35.5	49.2	6.2	35.3	2.2	20.2	4.6	5.5	0	1.2	20	55	0	2.9	1.8	0	0	0	0	3.2	28.5	1.9	0	10.68064516			
2008-11	0	0	18	0	0	0	52	67	0	1.7	0	0	9.2	0	6.3	8.7	37	0	20.5	12	0.3	0.2	23	12.4	0	0.6	5.5	29	0	5.3	0	9.958064516			
2008-12	0	40.7	34.2	2.7	5	0	2	0	8.9	1.7	18.3	0	0	0	18.3	8.8	41.3	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	5.980645161			
2009- 1	0	0	0	0	0	22.5	0	2.5	13.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4.1	0	52.6	0	0	0	0	3.125806452			
2009- 2	0	0	0	0	0	0	0	0	0	0	2.2	3.9	0	0	0	0	0	0	0.1	0	0	0	3.6	0	0	0	1.5	0	0	0	0	0.364516129			
2009- 3	0	0	0	0	0.2	0	0	31.2	9.3	0.1	13.8	0	3.1	0	0	36.3	3	13.2	39.3	49.3	26.7	3.8	13.7	16.7	5.5	58.6	65.8	27.8	11	1.9	0	13.88064516			
2009- 4	0	6.9	0	1.3	32.9	10.4	2	29.4	0	17.5	105.3	0	14.8	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	7.1	0	7.580645161			
2009- 5	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	4.2	0	0	0.5	0.2	0.4	0.2	3.2	0	0	0	0	0	0.483870968			
2009- 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0.14516129			
2009- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	3	0	0	0	0	1.1	0	0.309677419			
2009- 8	0	0	0	0	0	0	0	0	0	0	0	2.4	7.2	0	0	5.2	1.3	1.5	38	0	0	0	0	0	0	0	0	0	0	0	0	1.793548387			
2009- 9	0	0	0	0	0	0	0	0	0	0	9.4	0	0.4	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0.6	1.2	0	0.416129032			
2009-10	0.2	0	0	0	0	0	0	0	0	0	8.5	1.2	9.2	68.1	0	58	0	31	62.7	0	0	0	0	47.2	0	0	0	15.7	11.3	0	5.6	10.28064516			
2009-11	0.2	22.8	2.7	29.4	13.6	15.1	2.7	15.4	27.2	15	0	2.5	1.9	69.6	11.9	0	49.2	7.2	8.8	15	3.9	0.2	6.8	1	0	0	0	1.5	2	13.2	0	10.92903226			
2009-12	31.6	24.9	0	0	0	13.2	1.2	2.3	10.6	0	0	83.3	8.5	0	10.7	11	81	0	0	0	13.3	1.7	9	5.7	0	0	32	0	0	0	0	10.96774194			
2010- 1	0	0	0	0	0	0	3.4	2.3	0	0	0	52.7	29.1	0	15.3	5.8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.535483871			
2010- 2	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103225806			
2010- 3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	80	0	0	87.7	62.3	1.2	24.6	0	0	8.316129032			
2010- 4	0.64	5.48	0.11	4.41	3.74	1.56	4.23	7.15	16.69	15.19	10.62	24.59	10.46	25.34	28.28	6.10	13.37	4.97	12.27	7.40	0.29	0.59	16.26	10.63	12.64	11.83	28.05	7.14	16.55	16.36	0.00	10.4168459			
2010- 5	33.3	0	21.2	1.7	1.1	7.2	35.5	8.7	0.2	4	0	4.8	1.6	25.2	0	0	19	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	5.374193548			
2010- 6	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	7	3.7	0	0	2	0	0	0	2.8	0	0	0	0	0	0	0	0	0.541935484			
2010- 7	0.3	0	0	0	0	6.5	0.1	19	0	0.9	0	0	2.5	3.9	0	0	0	0	0	0	0	0	9.5	0	0	0	0	0	0	0	0	1.377419355			
2010- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16.5	0	0	0	0	0	0	0	0	0	0	0	0.661290323			
2010- 9	0	0	18.8	0	0	0	0	3	13.5	0	0	0.5	1	0	0	0	0	0	0.7	4.2	35	39.2	3	0.1	0.1	0	0	25.7	1.5	0.8	0	4.74516129			
2010-10	38.1	50.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7	32.7	0	0	0	0	0.5	1.7	1.7	1.8	17.2	10	0.5	5.829032258			
2010-11	0	0	1.7	9.3	3	0	3.3	0	52.6	5.2	2.8	2.5	1.5	22.2	0.6	12.3	76.1	118.5	21.2	3.2	52.5	45.9	40.6	0	22.4	93.3	9.4	0.2	0.8	2.4	0	19.46774194			
2010-12	74.8	11.6	0.6	36	0.1	0.2	0.7	0.5	0.1	0	1.5	2	2.5	0.5	49	0	0	0	0	0	0	0.6	12.5	1.7	1.5	9	0	0	7.7	1.8	4	7.061290323			
2011- 1	5.5	0.2	1	7	1.5	2.5	9.9	84.7	11.5	20	23.7	12	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0.5	0.6	0	0	5	3.3	6.261290323			
2011- 2	82.7	6.6	40	20.3	5.3	17.5	14.6	0	0	0	0	0	0	3	27.3	1	0	20.3	12.4	23.3	38	0	0	0	0.5	0	0	0.6	0	0	0	10.10967742			
2011- 3	0	0	0	0	7.2	3.2	0	0	0	0	0	6.3	30.3	20.8	0	0	0	0	56.8	16	2.5	47.7	7.6	45.8	12.6	2.3	17.2	7.5	0	0	0	9.15483871			
2011- 4	0	0	0	0	0	0	13.6	34.5	20.7	0	0	45.6	0	6.2	14.2	21.7	15.6	0	4.5	6.6	0	3.4	0	2.4	23.7	0	15.7	2.1	0	0	0	7.435483871			
2011- 5	3.3	0	0	0	0	0	0	0	0	0	20.5	0	11.2	0	0	0	0	50.7	0	0	0	0	0	5.7	0.2	0	29.2	8.2	0	0.1	0.5	4.180645161			
2011- 6	0.200000003	0	0	0	0	2	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087096774			
2011- 7	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.699999988	0	0	0	0	0	0	0	0.409677419			
2011- 8	0.00	0.00	4.15	0.67	0.05	0.00	0.67	0.00	0.00	0.00	0.00	1.22	0.00	1.10	1.53	3.25	1.88	0.38	0.93	2.52	0.00	0.00	0.00	0.33	1.62	0.00	1.70	1.33	5.12	1.02	4.40	1.092473119			
2011- 9	6.93	0.27	9.15	3.42	0.43	4.45	4.43	1.72	0.00	1.35	0.68	0.58	0.12	0.00	0.00	3.73	0.00	0.00	5.93	5.58	3.80	1.90	15.40	14.65	6.92	14.77	11.07	3.77	1.25	0.33	0.00	3.955913981			
2011- 10	0	8.5	0	3.5	1	9.199999809	0	8	0	0	0	0	2.5	33.20000076	31.29999924	0	0	3.5	31	3.5	38	0	28.5	39	66	0	10	26	6.300000191	7.099999905	30	12.45483871			
2011- 11	3.299999952	0	0	13.60000038	8.300000191	5.5	7.800000191	0	0	0	0	0	0	0	0	45.70000076	19.39999962	0	10	1.200000048	15	9.699999809	3.200000048	69.30000305	56.20000076	5.199999809	33	0	91.69999695	21.79999924	0	13.54516132			
2011- 12	0	30.5	47.09999847	0	0	0	0	0	0	0	0	1.200000048	2.400000095	3.700000048	0.100000001	1	2	0.699999988	24.29999924	11.69999981	7.400000095	3.799999952	11.80000019	0	0	0	0	0	0	0	0	4.764516063			
2012-1	0.00	0.35	3.07	3.02	6.28	13.93	22.42	6.20	6.00	22.58	5.50	0.88	0.68	1.92	10.38	1.55	4.48	17.13	0.22	0.08	0.00	0.07	0.67	0.47	0.93	0.08	2.27	0.00	0.40	0.43	0.03	4.259139785			
2012-2	0	0	0	0	14.60000038	2.5	0.300000012	0	0	0	0	0	0	30	0.200000003	0.400000006	0	0	0	0	0	0	0	0	0	0	2.5	11	0	0	0	1.983870981			
2012-3	0	0	0	14.39999962	6.900000095	0	0	0	0	2.5	0	0	0	3.200000048	0.5	0.100000001	0	0	0	0	0	0	0	0	0	0.800000012	20.70000076	65	19	0	0	4.293548404			
2012-4	0.55	4.70	0.28	11.95	11.22	6.27	1.68	6.50	15.67	15.23	9.10	17.32	9.08	20.83	24.47	4.48	9.23	6.83	10.23	9.68	0.72	0.17	13.93	8.77	9.12	10.97	21.80	5.82	14.18	18.95	0.00	9.668817223			
2012-5	0	0	0	0	0	0	1.600000024	0	2.200000048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122580647			
2012-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2012-7	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0.899999976	10.39999962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.170967729			
2012-8	0	0	0	0	0	0	0.699999988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.19999981	0	0	0	0	0.351612897			
2012-9	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.30000019	0.200000003	0	0	0	0	0	0	1.177419361			
2012-10	0	0	0	0	0	0	1.899999976	0	5.699999809	10.5	9.300000191	0	26.5	2	34	11.19999981	16.5	29	12	16.70000076	199	3.200000048	20.10000038	2.099999905	3	49.20000076	2.299999952	18.29999924	5	4.699999809	26	16.39354841			
2012-11	4	44.29999924	30	10.5	0.699999988	5.5	0	17.29999924	36.09999847	17.10000038	4.900000095	22	1.299999952	35.5	2.299999952	0	4.5	4.5	23.5	3.900000095	0.200000003	3	55	0	103	63	37	0	0	0	0	17.06774185			
2012-12	0	0	4.199999809	84	0.200000003	3.299999952	0	0.300000012	0.699999988	0.300000012	0	0	0	0	2.099999905	43.29999924	79	11	7.199999809	0.699999988	0	16.39999962	0.200000003	0	0	11.60000038	0	17	0	0	0	9.08064512			
2013-1	0	0.699999988	11	12	0	19.5	90	3	17.5	72	8.199999809	0	0	0	0	0	0	0	0	0	0	0	3.700000048	0	0	0	0	0	0	0	0	7.664516124			
2013-2	0	0	0	0	0	11	0	0.800000012	0	0	16.39999962	6.5	64.69999695	0.100000001	2.200000048	10	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4.667741827			
